index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
214,5,12124,22072,5,12222,22046,5,13036,23153,5,13246,23253
215,6,12835,22682,6,12542,22682,6,14151,24234,6,13962,24348
216,4,12246,22354,4,12357,22324,4,13144,23414,4,13373,23508
217,6,12836,22684,6,12542,22682,6,14152,24236,6,13962,24350
218,6,12876,22764,6,12579,22756,6,14192,24316,6,13999,24424
219,4,12200,22262,4,12311,22232,4,13098,23322,4,13327,23416
220,4,12180,22222,4,12291,22192,4,13078,23282,4,13307,23376
221,4,12287,22410,4,12384,22380,4,13199,23486,4,13416,23580
222,5,12593,22498,5,12449,22502,5,13761,23875,5,13729,24007
223,4,12225,22312,4,12336,22282,4,13123,23372,4,13352,23466
224,6,12960,22932,6,12666,22930,6,14276,24484,6,14086,24598
225,4,12214,22374,4,12369,22344,4,13068,23376,4,13337,23480
226,6,12954,22824,6,12618,22836,6,14318,24428,6,14090,24564
227,6,12864,22740,6,12573,22744,6,14180,24292,6,13993,24412
228,4,12101,22064,4,12212,22034,4,12999,23124,4,13228,23218
229,6,12674,22548,6,12468,22536,6,13898,23994,6,13796,24090
230,5,12750,22650,5,12523,22650,5,14000,24117,5,13883,24243
231,6,12867,22650,6,12532,22664,6,14231,24254,6,14004,24392
232,6,12859,22634,6,12524,22648,6,14223,24238,6,13996,24376
233,6,12674,22548,6,12468,22536,6,13898,23994,6,13796,24090
234,4,12320,22476,4,12417,22446,4,13232,23552,4,13449,23646
235,6,12753,22518,6,12464,22526,6,14069,24070,6,13884,24192
236,6,12879,22770,6,12584,22766,6,14195,24322,6,14004,24434
237,6,12795,22790,6,12589,22778,6,14019,24236,6,13917,24332
238,6,12688,22576,6,12482,22564,6,13912,24024,6,13810,24118
239,4,12233,22302,4,12330,22272,4,13145,23378,4,13362,23474
240,6,12895,22706,6,12560,22720,6,14259,24310,6,14032,24448
241,5,12147,22118,5,12245,22092,5,13059,23199,5,13269,23299
242,4,12087,22036,4,12198,22006,4,12985,23098,4,13214,23190
243,6,12946,22808,6,12612,22824,6,14310,24412,6,14084,24552
244,6,12940,22796,6,12605,22810,6,14304,24400,6,14077,24538
245,4,12246,22328,4,12343,22298,4,13158,23404,4,13375,23498
246,5,12734,22618,5,12506,22616,5,13984,24085,5,13866,24209
247,5,12168,22160,5,12266,22134,5,13080,23241,5,13290,23341
248,5,11961,21746,5,12059,21720,5,12873,22827,5,13083,22927
249,4,12294,22424,4,12391,22394,4,13206,23500,4,13423,23594
250,6,12860,22920,6,12654,22908,6,14084,24366,6,13982,24462
251,4,12239,22314,4,12336,22284,4,13151,23390,4,13368,23484
252,6,12860,22732,6,12569,22736,6,14176,24284,6,13989,24404
253,5,12593,22498,5,12449,22502,5,13761,23875,5,13729,24007
254,6,12854,22624,6,12519,22638,6,14218,24228,6,13991,24366
255,4,12265,22366,4,12362,22336,4,13177,23442,4,13394,23536
256,6,12850,22712,6,12556,22710,6,14166,24264,6,13976,24378
257,4,12211,22258,4,12308,22228,4,13123,23334,4,13340,23430
258,5,12125,22074,5,12223,22048,5,13037,23155,5,13247,23255
259,6,12826,22568,6,12493,22586,6,14190,24172,6,13965,24314
260,4,12278,22392,4,12375,22362,4,13190,23468,4,13407,23562
261,5,12837,22824,5,12608,22820,5,14087,24291,5,13968,24413
262,6,12842,22696,6,12551,22700,6,14158,24248,6,13971,24368
263,6,12774,22748,6,12568,22736,6,13998,24196,6,13896,24290
264,6,12813,22638,6,12524,22646,6,14129,24190,6,13944,24312
265,4,12177,22216,4,12288,22186,4,13075,23278,4,13304,23370
266,6,12870,22752,6,12579,22756,6,14186,24304,6,13999,24424
267,6,12939,22794,6,12603,22806,6,14303,24398,6,14075,24534
268,6,12701,22602,6,12495,22590,6,13925,24050,6,13823,24144
269,4,12146,22248,4,12307,22218,4,12994,23240,4,13267,23344
270,6,12937,22886,6,12641,22880,6,14253,24438,6,14061,24548
271,6,12640,22480,6,12434,22468,6,13864,23926,6,13762,24022
272,6,12740,22680,6,12534,22668,6,13964,24126,6,13862,24222
273,6,12958,22832,6,12624,22848,6,14322,24436,6,14096,24576
274,5,12127,22078,5,12225,22052,5,13039,23159,5,13249,23259
275,6,12919,22850,6,12622,22842,6,14235,24402,6,14042,24510
276,6,12958,22832,6,12620,22840,6,14322,24436,6,14092,24568
277,6,12802,22616,6,12513,22624,6,14118,24168,6,13933,24290
278,6,12707,22614,6,12501,22602,6,13931,24062,6,13829,24156
279,4,12141,22144,4,12252,22114,4,13039,23206,4,13268,23298
280,4,11840,21636,4,12001,21606,4,12688,22628,4,12961,22732
281,4,12134,22224,4,12295,22194,4,12982,23216,4,13255,23320
282,6,12707,22614,6,12501,22602,6,13931,24062,6,13829,24156
283,5,12739,22628,5,12511,22626,5,13989,24095,5,13871,24219
284,6,12896,22804,6,12599,22796,6,14212,24356,6,14019,24462
285,4,12202,22266,4,12313,22236,4,13100,23326,4,13329,23420
286,4,12143,22148,4,12254,22118,4,13041,23210,4,13270,23302
287,5,12799,22748,5,12568,22740,5,14049,24215,5,13928,24333
288,4,11811,21578,4,11972,21548,4,12659,22570,4,12932,22674
289,4,12174,22210,4,12285,22180,4,13072,23272,4,13301,23364
290,6,12875,22762,6,12582,22762,6,14191,24314,6,14002,24428
291,4,12268,22372,4,12365,22342,4,13180,23448,4,13397,23542
292,4,12253,22342,4,12350,22312,4,13165,23418,4,13382,23514
293,4,12352,22540,4,12449,22510,4,13264,23616,4,13481,23710
294,4,12262,22360,4,12359,22330,4,13174,23436,4,13391,23530
295,6,12826,22852,6,12620,22840,6,14050,24300,6,13948,24394
296,5,12754,22658,5,12524,22652,5,14004,24125,5,13884,24245
297,4,12166,22194,4,12277,22164,4,13064,23254,4,13293,23348
298,6,12847,22706,6,12555,22708,6,14163,24258,6,13975,24376
299,4,12275,22386,4,12372,22356,4,13187,23462,4,13404,23556
300,4,12059,21980,4,12170,21950,4,12957,23040,4,13186,23134
301,4,12206,22248,4,12303,22218,4,13118,23324,4,13335,23418
302,4,12335,22506,4,12432,22476,4,13247,23582,4,13464,23678
303,6,12610,22420,6,12404,22408,6,13834,23868,6,13732,23962
304,6,12834,22584,6,12497,22594,6,14198,24188,6,13969,24322
305,5,12736,22622,5,12505,22614,5,13986,24089,5,13865,24207
306,5,12178,22180,5,12276,22154,5,13090,23261,5,13300,23361
307,5,12772,22694,5,12543,22690,5,14022,24161,5,13903,24283
308,4,12210,22282,4,12321,22252,4,13108,23342,4,13337,23436
309,6,12617,22434,6,12411,22422,6,13841,23880,6,13739,23976
310,6,12817,22550,6,12483,22566,6,14181,24154,6,13955,24294
311,5,12176,22176,5,12274,22150,5,13088,23257,5,13298,23357
312,5,12107,22038,5,12205,22012,5,13019,23119,5,13229,23219
313,6,12762,22536,6,12468,22534,6,14078,24088,6,13888,24200
314,6,12928,22772,6,12594,22788,6,14292,24376,6,14066,24516
315,6,12782,22576,6,12489,22576,6,14098,24128,6,13909,24242
316,6,12851,22618,6,12516,22632,6,14215,24222,6,13988,24360
317,4,11856,21668,4,12017,21638,4,12704,22660,4,12977,22764
318,5,12775,22700,5,12544,22692,5,14025,24167,5,13904,24285
319,4,12230,22416,4,12391,22386,4,13078,23408,4,13351,23512
320,5,12774,22698,5,12547,22698,5,14024,24165,5,13907,24291
321,6,12937,22886,6,12640,22878,6,14253,24438,6,14060,24546
322,5,12011,21846,5,12109,21820,5,12923,22927,5,13133,23027
